"genus","Species","campaign","observer","site","transect","intercept_cm","family_molecules","new_label","GrowthForm","PlanarArea","BenthicType","ntrans","ntransadded","length","cover"
"Acropora","Acropora arborescent",1995,"AHB","North Reef",5,37,NA,"Acropora","Arborescent",107521.008569111,"HardCoral",15,15,7493,0.499533333333333
"Acropora","Acropora arborescent",1995,"AHB","North Reef",6,187,NA,"Acropora","Arborescent",2746458.83758454,"HardCoral",15,15,7493,0.499533333333333
"Acropora","Acropora arborescent",1995,"AHB","North Reef",7,30,NA,"Acropora","Arborescent",70685.8347057704,"HardCoral",15,15,7493,0.499533333333333
"Acropora","Acropora arborescent",1995,"AHB","North Reef",9,20,NA,"Acropora","Arborescent",31415.9265358979,"HardCoral",15,15,7493,0.499533333333333
"Acropora","Acropora arborescent",1995,"AHB","North Reef",11,3,NA,"Acropora","Arborescent",706.858347057703,"HardCoral",15,15,7493,0.499533333333333
"Acropora","Acropora arborescent",1995,"AHB","North Reef",13,12,NA,"Acropora","Arborescent",11309.7335529233,"HardCoral",15,15,7493,0.499533333333333
"Acropora","Acropora arborescent",1995,"AHB","North Reef",15,40,NA,"Acropora","Arborescent",125663.706143592,"HardCoral",15,15,7493,0.499533333333333
"Acropora","Acropora arborescent",1995,"AHB","South Island",1,9,NA,"Acropora","Arborescent",6361.72512351933,"HardCoral",15,15,4706,0.313733333333333
"Acropora","Acropora arborescent",1995,"AHB","South Island",4,6,NA,"Acropora","Arborescent",2827.43338823081,"HardCoral",15,15,4706,0.313733333333333
"Acropora","Acropora arborescent",1995,"AHB","South Island",8,10,NA,"Acropora","Arborescent",7853.98163397448,"HardCoral",15,15,4706,0.313733333333333
"Acropora","Acropora arborescent",1995,"AHB","South Island",10,33,NA,"Acropora","Arborescent",85529.8599939821,"HardCoral",15,15,4706,0.313733333333333
"Acropora","Acropora arborescent",1995,"AHB","South Island",15,22,NA,"Acropora","Arborescent",38013.2711084365,"HardCoral",15,15,4706,0.313733333333333
"Acropora","Acropora arborescent",1996,"AHB","Lizard Head",4,41,NA,"Acropora","Arborescent",132025.431267111,"HardCoral",10,10,2402,0.2402
"Acropora","Acropora arborescent",1996,"AHB","Lizard Head",5,5,NA,"Acropora","Arborescent",1963.49540849362,"HardCoral",10,10,2402,0.2402
"Acropora","Acropora arborescent",1996,"AHB","Lizard Head",8,10,NA,"Acropora","Arborescent",7853.98163397448,"HardCoral",10,10,2402,0.2402
"Acropora","Acropora arborescent",1996,"AHB","Lizard Head",10,8,NA,"Acropora","Arborescent",5026.54824574367,"HardCoral",10,10,2402,0.2402
"Acropora","Acropora arborescent",1996,"AHB","North Reef",1,26,NA,"Acropora","Arborescent",53092.9158456675,"HardCoral",10,10,2291,0.2291
"Acropora","Acropora arborescent",1996,"AHB","North Reef",2,59,NA,"Acropora","Arborescent",273397.100678652,"HardCoral",10,10,2291,0.2291
"Acropora","Acropora arborescent",1996,"AHB","North Reef",4,32,NA,"Acropora","Arborescent",80424.7719318987,"HardCoral",10,10,2291,0.2291
"Acropora","Acropora arborescent",1996,"AHB","North Reef",6,11,NA,"Acropora","Arborescent",9503.31777710913,"HardCoral",10,10,2291,0.2291
"Acropora","Acropora arborescent",1996,"AHB","North Reef",7,6,NA,"Acropora","Arborescent",2827.43338823081,"HardCoral",10,10,2291,0.2291
"Acropora","Acropora arborescent",1996,"AHB","Washing Machine",3,27,NA,"Acropora","Arborescent",57255.526111674,"HardCoral",10,10,2600,0.26
"Acropora","Acropora arborescent",1996,"AHB","Washing Machine",5,23,NA,"Acropora","Arborescent",41547.562843725,"HardCoral",10,10,2600,0.26
"Acropora","Acropora arborescent",1996,"AHB","Washing Machine",6,33,NA,"Acropora","Arborescent",85529.8599939821,"HardCoral",10,10,2600,0.26
"Acropora","Acropora arborescent",1996,"AHB","Washing Machine",7,12,NA,"Acropora","Arborescent",11309.7335529233,"HardCoral",10,10,2600,0.26
"Acropora","Acropora arborescent",1996,"AHB","Washing Machine",10,4,NA,"Acropora","Arborescent",1256.63706143592,"HardCoral",10,10,2600,0.26
"Acropora","Acropora arborescent",1997,"AHB","Lizard Head",8,7,NA,"Acropora","Arborescent",3848.4510006475,"HardCoral",10,10,3259,0.3259
"Acropora","Acropora arborescent",1997,"AHB","Lizard Head",9,41,NA,"Acropora","Arborescent",132025.431267111,"HardCoral",10,10,3259,0.3259
"Acropora","Acropora arborescent",1997,"AHB","Lizard Head",10,49,NA,"Acropora","Arborescent",188574.099031727,"HardCoral",10,10,3259,0.3259
"Acropora","Acropora arborescent",1997,"AHB","North Reef",3,11,NA,"Acropora","Arborescent",9503.31777710913,"HardCoral",10,10,2970,0.297
"Acropora","Acropora arborescent",1997,"AHB","North Reef",5,66,NA,"Acropora","Arborescent",342119.439975928,"HardCoral",10,10,2970,0.297
"Acropora","Acropora arborescent",1997,"AHB","North Reef",6,45,NA,"Acropora","Arborescent",159043.128087983,"HardCoral",10,10,2970,0.297
"Acropora","Acropora arborescent",1997,"AHB","North Reef",7,81,NA,"Acropora","Arborescent",515299.735005066,"HardCoral",10,10,2970,0.297
"Acropora","Acropora arborescent",1997,"AHB","North Reef",10,59,NA,"Acropora","Arborescent",273397.100678652,"HardCoral",10,10,2970,0.297
"Acropora","Acropora arborescent",1997,"AHB","South Island",8,42,NA,"Acropora","Arborescent",138544.23602331,"HardCoral",10,10,3304,0.3304
"Acropora","Acropora arborescent",1997,"AHB","South Island",10,78,NA,"Acropora","Arborescent",477836.242611007,"HardCoral",10,10,3304,0.3304
"Acropora","Acropora austera",2011,"ahb","Horseshoe",1,60,"Acroporidae","Acropora","Arborescent",282743.338823081,"HardCoral",6,6,2096,0.349333333333333
"Acropora","Acropora austera",2014,"TB","Lagoon 2",2,26,"Acroporidae","Acropora","Arborescent",53092.9158456675,"HardCoral",6,6,1350,0.225
"Acropora","Acropora austera",2011,"ahb","Horseshoe",1,15,"Acroporidae","Acropora","Arborescent",17671.4586764426,"HardCoral",6,6,2096,0.349333333333333
"Acropora","Acropora austera",2016,"jsm","Horseshoe",1,5,"Acroporidae","Acropora","Arborescent",1963.49540849362,"HardCoral",6,6,995,0.165833333333333
"Acropora","Acropora cerealis",2015,"TB","South Island",1,12,"Acroporidae","Acropora","Corymbose",11309.7335529233,"HardCoral",5,6,270,0.045
"Acropora","Acropora cerealis",2016,"jsm","North Reef",7,5,"Acroporidae","Acropora","Corymbose",1963.49540849362,"HardCoral",12,12,322,0.0268333333333333
"Acropora","Acropora cerealis",2015,"TB","Easter Point",1,3,"Acroporidae","Acropora","Corymbose",706.858347057703,"HardCoral",5,6,215,0.0358333333333333
"Acropora","Acropora cerealis",2015,"TB","Easter Point",1,4,"Acroporidae","Acropora","Corymbose",1256.63706143592,"HardCoral",5,6,215,0.0358333333333333
"Acropora","Acropora cytherea",2014,"TB","Lagoon 2",3,21,"Acroporidae","Acropora","Tabular",34636.0590058275,"HardCoral",6,6,1350,0.225
"Acropora","Acropora cytherea",2014,"TB","Trimodal",2,16,"Acroporidae","Acropora","Tabular",20106.1929829747,"HardCoral",6,6,1932,0.322
"Acropora","Acropora cytherea",2014,"TB","Trimodal",3,26,"Acroporidae","Acropora","Tabular",53092.9158456675,"HardCoral",6,6,1932,0.322
"Acropora","Acropora cytherea",2011,"ahb","North Reef",7,30,"Acroporidae","Acropora","Tabular",70685.8347057704,"HardCoral",7,7,2005,0.286428571428571
"Acropora","Acropora cytherea",2011,"ahb","North Reef",1,139,"Acroporidae","Acropora","Tabular",1517467.79150021,"HardCoral",7,7,2005,0.286428571428571
"Acropora","Acropora cytherea",2014,"TB","Horseshoe",4,6,"Acroporidae","Acropora","Tabular",2827.43338823081,"HardCoral",6,6,1981,0.330166666666667
"Acropora","Acropora digitifera",2015,"TB","South Island",4,5,"Acroporidae","Acropora","Digitate",1963.49540849362,"HardCoral",5,6,270,0.045
"Acropora","Acropora digitifera",2015,"TB","South Island",1,8,"Acroporidae","Acropora","Digitate",5026.54824574367,"HardCoral",5,6,270,0.045
"Acropora","Acropora digitifera",2015,"TB","Southeast",1,9,"Acroporidae","Acropora","Digitate",6361.72512351933,"HardCoral",5,6,152,0.0253333333333333
"Acropora","Acropora digitifera",2015,"TB","Washing Machine",1,4,"Acroporidae","Acropora","Digitate",1256.63706143592,"HardCoral",5,6,424,0.0706666666666667
"Acropora","Acropora digitifera",2015,"TB","Washing Machine",1,6,"Acroporidae","Acropora","Digitate",2827.43338823081,"HardCoral",5,6,424,0.0706666666666667
"Acropora","Acropora digitifera",2014,"TB","Lagoon 1",1,6,"Acroporidae","Acropora","Digitate",2827.43338823081,"HardCoral",6,6,1432,0.238666666666667
"Acropora","Acropora digitifera",2015,"TB","Gnarly Tree",1,7,"Acroporidae","Acropora","Digitate",3848.4510006475,"HardCoral",5,6,648,0.108
"Acropora","Acropora digitifera",2015,"TB","North Reef",3,3,"Acroporidae","Acropora","Digitate",706.858347057703,"HardCoral",5,6,122,0.0203333333333333
"Acropora","Acropora digitifera",2015,"TB","Southeast",1,17,"Acroporidae","Acropora","Digitate",22698.0069221863,"HardCoral",5,6,152,0.0253333333333333
"Acropora","Acropora digitifera",2011,"ahb","Horseshoe",6,34,"Acroporidae","Acropora","Digitate",90792.027688745,"HardCoral",6,6,2096,0.349333333333333
"Acropora","Acropora digitifera",2015,"TB","North Reef",3,3,"Acroporidae","Acropora","Digitate",706.858347057703,"HardCoral",5,6,122,0.0203333333333333
"Acropora","Acropora digitifera",2014,"TB","Lagoon 1",1,6,"Acroporidae","Acropora","Digitate",2827.43338823081,"HardCoral",6,6,1432,0.238666666666667
"Acropora","Acropora elseyi",2014,"TB","Horseshoe",5,21,"Acroporidae","Acropora","Hispidose",34636.0590058275,"HardCoral",6,6,1981,0.330166666666667
"Acropora","Acropora elseyi",2011,"ahb","Horseshoe",5,15,"Acroporidae","Acropora","Hispidose",17671.4586764426,"HardCoral",6,6,2096,0.349333333333333
"Acropora","Acropora elseyi",2011,"ahb","Horseshoe",2,70,"Acroporidae","Acropora","Hispidose",384845.10006475,"HardCoral",6,6,2096,0.349333333333333
"Acropora","Acropora elseyi",2011,"ahb","Lagoon 2",3,115,"Acroporidae","Acropora","Hispidose",1038689.07109313,"HardCoral",6,6,1904,0.317333333333333
"Acropora","Acropora elseyi",2011,"ahb","Horseshoe",5,18,"Acroporidae","Acropora","Hispidose",25446.9004940773,"HardCoral",6,6,2096,0.349333333333333
"Acropora","Acropora elseyi",2014,"TB","Horseshoe",5,10,"Acroporidae","Acropora","Hispidose",7853.98163397448,"HardCoral",6,6,1981,0.330166666666667
"Acropora","Acropora elseyi",2014,"TB","Horseshoe",5,3,"Acroporidae","Acropora","Hispidose",706.858347057703,"HardCoral",6,6,1981,0.330166666666667
"Acropora","Acropora elseyi",2015,"TB","Horseshoe",1,39,"Acroporidae","Acropora","Hispidose",119459.060652752,"HardCoral",5,6,1355,0.225833333333333
"Acropora","Acropora elseyi",2014,"TB","Horseshoe",5,6,"Acroporidae","Acropora","Hispidose",2827.43338823081,"HardCoral",6,6,1981,0.330166666666667
"Acropora","Acropora fat_digitifera",2011,"ahb","Lizard Head",4,11,NA,"Acropora","Digitate",9503.31777710913,"HardCoral",6,6,845,0.140833333333333
"Acropora","Acropora fat_digitifera",2011,"ahb","Lizard Head",4,14,NA,"Acropora","Digitate",15393.80400259,"HardCoral",6,6,845,0.140833333333333
"Acropora","Acropora fat_digitifera",2011,"ahb","Trimodal",1,10,NA,"Acropora","Digitate",7853.98163397448,"HardCoral",6,6,2155,0.359166666666667
"Acropora","Acropora fat_digitifera",2011,"ahb","Trimodal",3,11,NA,"Acropora","Digitate",9503.31777710913,"HardCoral",6,6,2155,0.359166666666667
"Acropora","Acropora fat_digitifera",2014,"TB","Trimodal",2,8,NA,"Acropora","Digitate",5026.54824574367,"HardCoral",6,6,1932,0.322
"Acropora","Acropora fat_digitifera",2014,"TB","Trimodal",3,14,NA,"Acropora","Digitate",15393.80400259,"HardCoral",6,6,1932,0.322
"Acropora","Acropora fat_digitifera",2014,"TB","Trimodal",3,5,NA,"Acropora","Digitate",1963.49540849362,"HardCoral",6,6,1932,0.322
"Acropora","Acropora fat_digitifera",2014,"TB","Trimodal",4,44,NA,"Acropora","Digitate",152053.084433746,"HardCoral",6,6,1932,0.322
"Acropora","Acropora fat_digitifera",2014,"TB","Trimodal",6,15,NA,"Acropora","Digitate",17671.4586764426,"HardCoral",6,6,1932,0.322
"Acropora","Acropora fat_digitifera",2011,"ahb","North Reef",2,10,NA,"Acropora","Digitate",7853.98163397448,"HardCoral",7,7,2005,0.286428571428571
"Acropora","Acropora fat_digitifera",2011,"ahb","North Reef",5,18,NA,"Acropora","Digitate",25446.9004940773,"HardCoral",7,7,2005,0.286428571428571
"Acropora","Acropora fat_digitifera",2014,"jsm","Horseshoe",6,35,NA,"Acropora","Digitate",96211.2750161874,"HardCoral",6,6,1981,0.330166666666667
"Acropora","Acropora fat_digitifera",2011,"ahb","North Reef",7,12,NA,"Acropora","Digitate",11309.7335529233,"HardCoral",7,7,2005,0.286428571428571
"Acropora","Acropora fat_digitifera",2011,"ahb","Lizard Head",1,14,NA,"Acropora","Digitate",15393.80400259,"HardCoral",6,6,845,0.140833333333333
"Acropora","Acropora fat_digitifera",2011,"ahb","Lizard Head",2,6,NA,"Acropora","Digitate",2827.43338823081,"HardCoral",6,6,845,0.140833333333333
"Acropora","Acropora fat_digitifera",2011,"ahb","Lizard Head",4,9,NA,"Acropora","Digitate",6361.72512351933,"HardCoral",6,6,845,0.140833333333333
"Acropora","Acropora fat_digitifera",2011,"ahb","Lizard Head",4,6,NA,"Acropora","Digitate",2827.43338823081,"HardCoral",6,6,845,0.140833333333333
"Acropora","Acropora fat_digitifera",2011,"ahb","Lizard Head",5,8,NA,"Acropora","Digitate",5026.54824574367,"HardCoral",6,6,845,0.140833333333333
"Acropora","Acropora fat_digitifera",2011,"ahb","Lizard Head",5,12,NA,"Acropora","Digitate",11309.7335529233,"HardCoral",6,6,845,0.140833333333333
"Acropora","Acropora fat_digitifera",2011,"ahb","Lizard Head",6,13,NA,"Acropora","Digitate",13273.2289614169,"HardCoral",6,6,845,0.140833333333333
"Acropora","Acropora fat_digitifera",2011,"ahb","Trimodal",1,11,NA,"Acropora","Digitate",9503.31777710913,"HardCoral",6,6,2155,0.359166666666667
"Acropora","Acropora fat_digitifera",2011,"ahb","Trimodal",1,15,NA,"Acropora","Digitate",17671.4586764426,"HardCoral",6,6,2155,0.359166666666667
"Acropora","Acropora fat_digitifera",2011,"ahb","Trimodal",2,20,NA,"Acropora","Digitate",31415.9265358979,"HardCoral",6,6,2155,0.359166666666667
"Acropora","Acropora fat_digitifera",2011,"ahb","Trimodal",2,12,NA,"Acropora","Digitate",11309.7335529233,"HardCoral",6,6,2155,0.359166666666667
"Acropora","Acropora fat_digitifera",2011,"ahb","Trimodal",3,13,NA,"Acropora","Digitate",13273.2289614169,"HardCoral",6,6,2155,0.359166666666667
"Acropora","Acropora fat_digitifera",2011,"ahb","Trimodal",3,12,NA,"Acropora","Digitate",11309.7335529233,"HardCoral",6,6,2155,0.359166666666667
"Acropora","Acropora fat_digitifera",2011,"ahb","Trimodal",3,25,NA,"Acropora","Digitate",49087.3852123405,"HardCoral",6,6,2155,0.359166666666667
"Acropora","Acropora fat_digitifera",2015,"TB","Gnarly Tree",3,4,NA,"Acropora","Digitate",1256.63706143592,"HardCoral",5,6,648,0.108
"Acropora","Acropora fat_digitifera",2011,"ahb","Trimodal",4,24,NA,"Acropora","Digitate",45238.934211693,"HardCoral",6,6,2155,0.359166666666667
"Acropora","Acropora fat_digitifera",2011,"ahb","Trimodal",4,10,NA,"Acropora","Digitate",7853.98163397448,"HardCoral",6,6,2155,0.359166666666667
"Acropora","Acropora fat_digitifera",2011,"ahb","Trimodal",4,13,NA,"Acropora","Digitate",13273.2289614169,"HardCoral",6,6,2155,0.359166666666667
"Acropora","Acropora fat_digitifera",2011,"ahb","Trimodal",5,26,NA,"Acropora","Digitate",53092.9158456675,"HardCoral",6,6,2155,0.359166666666667
"Acropora","Acropora fat_digitifera",2011,"ahb","Trimodal",5,18,NA,"Acropora","Digitate",25446.9004940773,"HardCoral",6,6,2155,0.359166666666667
"Acropora","Acropora fat_digitifera",2011,"ahb","Trimodal",5,8,NA,"Acropora","Digitate",5026.54824574367,"HardCoral",6,6,2155,0.359166666666667
"Acropora","Acropora fat_digitifera",2011,"ahb","Trimodal",5,12,NA,"Acropora","Digitate",11309.7335529233,"HardCoral",6,6,2155,0.359166666666667
"Acropora","Acropora fat_digitifera",2011,"ahb","Trimodal",6,16,NA,"Acropora","Digitate",20106.1929829747,"HardCoral",6,6,2155,0.359166666666667
"Acropora","Acropora fat_digitifera",2011,"ahb","Trimodal",6,10,NA,"Acropora","Digitate",7853.98163397448,"HardCoral",6,6,2155,0.359166666666667
"Acropora","Acropora fat_digitifera",2014,"TB","Trimodal",3,7,NA,"Acropora","Digitate",3848.4510006475,"HardCoral",6,6,1932,0.322
"Acropora","Acropora fat_digitifera",2014,"TB","Trimodal",3,15,NA,"Acropora","Digitate",17671.4586764426,"HardCoral",6,6,1932,0.322
"Acropora","Acropora fat_digitifera",2014,"TB","Horseshoe",5,8,NA,"Acropora","Digitate",5026.54824574367,"HardCoral",6,6,1981,0.330166666666667
"Acropora","Acropora fat_digitifera",2015,"TB","Lagoon 2",3,3,NA,"Acropora","Digitate",706.858347057703,"HardCoral",5,6,472,0.0786666666666667
"Acropora","Acropora fat_digitifera",2014,"TB","Trimodal",2,15,NA,"Acropora","Digitate",17671.4586764426,"HardCoral",6,6,1932,0.322
"Acropora","Acropora fat_digitifera",2015,"TB","Lizard Head",3,7,NA,"Acropora","Digitate",3848.4510006475,"HardCoral",5,6,142,0.0236666666666667
"Acropora","Acropora fat_digitifera",2014,"TB","Trimodal",1,6,NA,"Acropora","Digitate",2827.43338823081,"HardCoral",6,6,1932,0.322
"Acropora","Acropora fat_digitifera",2014,"TB","Trimodal",2,18,NA,"Acropora","Digitate",25446.9004940773,"HardCoral",6,6,1932,0.322
"Acropora","Acropora fat_digitifera",2015,"TB","Washing Machine",2,5,NA,"Acropora","Digitate",1963.49540849362,"HardCoral",5,6,424,0.0706666666666667
"Acropora","Acropora fat_digitifera",2015,"TB","Washing Machine",2,3,NA,"Acropora","Digitate",706.858347057703,"HardCoral",5,6,424,0.0706666666666667
"Acropora","Acropora fat_digitifera",2014,"TB","Trimodal",4,4,NA,"Acropora","Digitate",1256.63706143592,"HardCoral",6,6,1932,0.322
"Acropora","Acropora fat_digitifera",2015,"TB","Lizard Head",1,4,NA,"Acropora","Digitate",1256.63706143592,"HardCoral",5,6,142,0.0236666666666667
"Acropora","Acropora fat_digitifera",2015,"TB","Vickies",4,5,NA,"Acropora","Digitate",1963.49540849362,"HardCoral",5,6,360,0.06
"Acropora","Acropora fat_digitifera",2015,"TB","North of Paradise",4,9,NA,"Acropora","Digitate",6361.72512351933,"HardCoral",5,6,405,0.0675
"Acropora","Acropora fat_digitifera",2015,"TB","North of Paradise",1,5,NA,"Acropora","Digitate",1963.49540849362,"HardCoral",5,6,405,0.0675
"Acropora","Acropora florida",2015,"TB","Vickies",3,15,"Acroporidae","Acropora","Arborescent",17671.4586764426,"HardCoral",5,6,360,0.06
"Acropora","Acropora florida",2015,"TB","Vickies",3,30,"Acroporidae","Acropora","Arborescent",70685.8347057704,"HardCoral",5,6,360,0.06
"Acropora","Acropora florida",2011,"ahb","Horseshoe",5,20,"Acroporidae","Acropora","Arborescent",31415.9265358979,"HardCoral",6,6,2096,0.349333333333333
"Acropora","Acropora florida",2011,"ahb","North Reef",3,50,"Acroporidae","Acropora","Arborescent",196349.540849362,"HardCoral",7,7,2005,0.286428571428571
"Acropora","Acropora florida",2014,"jsm","Horseshoe",6,15,"Acroporidae","Acropora","Arborescent",17671.4586764426,"HardCoral",6,6,1981,0.330166666666667
"Acropora","Acropora florida",2014,"jsm","Horseshoe",6,10,"Acroporidae","Acropora","Arborescent",7853.98163397448,"HardCoral",6,6,1981,0.330166666666667
"Acropora","Acropora florida",2011,"ahb","North Reef",2,35,"Acroporidae","Acropora","Arborescent",96211.2750161874,"HardCoral",7,7,2005,0.286428571428571
"Acropora","Acropora florida",2016,"md","Vickies",4,10,"Acroporidae","Acropora","Arborescent",7853.98163397448,"HardCoral",6,6,380,0.0633333333333333
"Acropora","Acropora florida",2014,"TB","Horseshoe",4,122,"Acroporidae","Acropora","Arborescent",1168986.62640076,"HardCoral",6,6,1981,0.330166666666667
"Acropora","Acropora florida",2014,"TB","Horseshoe",2,9,"Acroporidae","Acropora","Arborescent",6361.72512351933,"HardCoral",6,6,1981,0.330166666666667
"Acropora","Acropora formosa",2014,"jsm","Horseshoe",6,10,"Acroporidae","Acropora","Arborescent",7853.98163397448,"HardCoral",6,6,1981,0.330166666666667
"Acropora","Acropora gemmifera",2015,"TB","Lagoon 1",5,29,"Acroporidae","Acropora","Digitate",66051.9855417254,"HardCoral",5,6,1055,0.175833333333333
"Acropora","Acropora gemmifera",2015,"TB","South Island",2,4,"Acroporidae","Acropora","Digitate",1256.63706143592,"HardCoral",5,6,270,0.045
"Acropora","Acropora gemmifera",2014,"TB","Trimodal",3,4,"Acroporidae","Acropora","Digitate",1256.63706143592,"HardCoral",6,6,1932,0.322
"Acropora","Acropora gemmifera",2011,"ahb","Lizard Head",6,21,"Acroporidae","Acropora","Digitate",34636.0590058275,"HardCoral",6,6,845,0.140833333333333
"Acropora","Acropora gemmifera",2015,"TB","Gnarly Tree",1,5,"Acroporidae","Acropora","Digitate",1963.49540849362,"HardCoral",5,6,648,0.108
"Acropora","Acropora gemmifera",2015,"TB","Easter Point",5,7,"Acroporidae","Acropora","Digitate",3848.4510006475,"HardCoral",5,6,215,0.0358333333333333
"Acropora","Acropora gemmifera",2014,"TB","Trimodal",3,12,"Acroporidae","Acropora","Digitate",11309.7335529233,"HardCoral",6,6,1932,0.322
"Acropora","Acropora gemmifera",2014,"TB","Trimodal",2,9,"Acroporidae","Acropora","Digitate",6361.72512351933,"HardCoral",6,6,1932,0.322
"Acropora","Acropora gemmifera",2014,"jsm","Lagoon 1",6,15,"Acroporidae","Acropora","Digitate",17671.4586764426,"HardCoral",6,6,1432,0.238666666666667
"Acropora","Acropora gemmifera",2014,"TB","Lizard Head",2,9,"Acroporidae","Acropora","Digitate",6361.72512351933,"HardCoral",3,6,365,0.0608333333333333
"Acropora","Acropora gemmifera",2011,"ahb","North Reef",6,35,"Acroporidae","Acropora","Digitate",96211.2750161874,"HardCoral",7,7,2005,0.286428571428571
"Acropora","Acropora gemmifera",2014,"TB","Lizard Head",1,8,"Acroporidae","Acropora","Digitate",5026.54824574367,"HardCoral",3,6,365,0.0608333333333333
"Acropora","Acropora gemmifera",2015,"TB","Gnarly Tree",4,10,"Acroporidae","Acropora","Digitate",7853.98163397448,"HardCoral",5,6,648,0.108
"Acropora","Acropora gemmifera",2014,"TB","Horseshoe",3,16,"Acroporidae","Acropora","Digitate",20106.1929829747,"HardCoral",6,6,1981,0.330166666666667
"Acropora","Acropora gemmifera",2011,"ahb","Horseshoe",1,12,"Acroporidae","Acropora","Digitate",11309.7335529233,"HardCoral",6,6,2096,0.349333333333333
"Acropora","Acropora gemmifera",2014,"TB","Trimodal",3,11,"Acroporidae","Acropora","Digitate",9503.31777710913,"HardCoral",6,6,1932,0.322
"Acropora","Acropora gemmifera",2014,"TB","Lizard Head",2,22,"Acroporidae","Acropora","Digitate",38013.2711084365,"HardCoral",3,6,365,0.0608333333333333
"Acropora","Acropora gemmifera",2015,"TB","Southeast",1,4,"Acroporidae","Acropora","Digitate",1256.63706143592,"HardCoral",5,6,152,0.0253333333333333
"Acropora","Acropora gemmifera",2015,"TB","Lizard Head",5,3,"Acroporidae","Acropora","Digitate",706.858347057703,"HardCoral",5,6,142,0.0236666666666667
"Acropora","Acropora gemmifera",2014,"TB","Trimodal",2,7,"Acroporidae","Acropora","Digitate",3848.4510006475,"HardCoral",6,6,1932,0.322
"Acropora","Acropora gemmifera",2014,"jsm","Horseshoe",6,10,"Acroporidae","Acropora","Digitate",7853.98163397448,"HardCoral",6,6,1981,0.330166666666667
"Acropora","Acropora gemmifera",2014,"TB","Trimodal",2,8,"Acroporidae","Acropora","Digitate",5026.54824574367,"HardCoral",6,6,1932,0.322
"Acropora","Acropora gemmifera",2011,"ahb","Lizard Head",5,9,"Acroporidae","Acropora","Digitate",6361.72512351933,"HardCoral",6,6,845,0.140833333333333
"Acropora","Acropora gemmifera",2014,"TB","Lagoon 2",5,6,"Acroporidae","Acropora","Digitate",2827.43338823081,"HardCoral",6,6,1350,0.225
"Acropora","Acropora gemmifera",2014,"TB","Lagoon 2",5,19,"Acroporidae","Acropora","Digitate",28352.8736986479,"HardCoral",6,6,1350,0.225
"Acropora","Acropora gemmifera",2014,"TB","Horseshoe",2,3,"Acroporidae","Acropora","Digitate",706.858347057703,"HardCoral",6,6,1981,0.330166666666667
"Acropora","Acropora gemmifera",2014,"TB","Trimodal",3,12,"Acroporidae","Acropora","Digitate",11309.7335529233,"HardCoral",6,6,1932,0.322
"Acropora","Acropora gemmifera",2014,"TB","Horseshoe",5,4,"Acroporidae","Acropora","Digitate",1256.63706143592,"HardCoral",6,6,1981,0.330166666666667
"Acropora","Acropora gemmifera",2014,"TB","Horseshoe",1,35,"Acroporidae","Acropora","Digitate",96211.2750161874,"HardCoral",6,6,1981,0.330166666666667
"Acropora","Acropora gemmifera",2014,"jsm","Horseshoe",6,15,"Acroporidae","Acropora","Digitate",17671.4586764426,"HardCoral",6,6,1981,0.330166666666667
