"","campaign","observer","site","transect","species","intercept_cm","GrowthForm","ln_area_cm2","ColonySA","ColonySAlwr","ColonySAupr","ColonyVol","ColonyVollwr","ColonyVolupr","Convexity","Convexitylwr","Convexityupr","ConvexSA","ConvexSAlwr","ConvexSAupr","ConvexVol","ConvexVollwr","ConvexVolupr","FracDim","FracDimlwr","FracDimupr","Packing","Packinglwr","Packingupr","Sphericity","Sphericitylwr","Sphericityupr","Vsa","Vsalwr","Vsaupr"
"53",1995,"AHB","North Reef",11,"Acropora tabular",155,"Tabular",9.8452857651595,10.3331352092997,9.61348531415335,11.052785104446,13.411561324198,12.814374849157,14.0087477992391,-2.52492054419149,-4.06314946052523,-0.986691627857751,9.96470468023522,9.44535374285246,10.484055617618,13.1737163483073,12.18336552426,14.1640671723546,2.47609986031251,2.10844570785527,2.84375401276975,0.368430528716821,-0.0941336553876102,0.830994712821251,-4.74227728331219,-6.90977913493782,-2.57477543168656,2.54111532672649,1.43363731934622,3.64859333410675
"54",1995,"AHB","North Reef",11,"Faviidae",6,"Massive",3.34194265444484,7.86054784686654,7.44166522546767,8.27943046826541,10.2240035863107,9.75971290891012,10.6882942637112,1.37576675534301,0.179849943073248,2.57168356761276,7.86879866386496,7.56650294542728,8.17109438230263,10.7287351052584,10.1522870961927,11.3051831143242,1.87179861654954,1.65780020400456,2.08579702909451,-0.00825081702596073,-0.27749298507144,0.260991351019518,2.05549604546528,0.793870269349155,3.31712182158141,0.090791589833487,-0.553831988939811,0.735415168606785
"59",1995,"AHB","North Reef",12,"Acropora tabular",226,"Tabular",10.5995055334028,10.626417850607,9.87078530553467,11.3820503956794,13.8414841950049,13.2248380056219,14.4581303843878,-2.61942680342129,-4.20777992141623,-1.03107368542634,10.2454523887261,9.7001337924933,10.7907709849588,13.562838367273,12.5229697884869,14.602706946059,2.48602661042534,2.09998967107277,2.87206354977791,0.38096546151474,-0.104727031531595,0.866657954561075,-4.94351382400518,-7.21939123556225,-2.66763641244811,2.61598161951247,1.45312947297215,3.77883376605278
"60",1995,"AHB","North Reef",12,"Faviidae",15,"Massive",5.17453826536619,8.61126977302458,8.11801883357448,9.10452071247469,11.2686258559051,10.7666438682141,11.7706078435962,1.1461363967109,-0.146865439762351,2.43913823318416,8.6321886321301,8.27622340584982,8.98815385841039,11.877018253969,11.1982278065012,12.5558087014368,1.81475412257407,1.5627624842575,2.06674576089064,-0.0209188591456169,-0.337962215789332,0.296124497498098,2.24087027834804,0.755255770814717,3.72648478588136,0.000303376903613151,-0.758766514226698,0.759373268033924
"64",1995,"AHB","North Reef",12,"Porites",65,"Massive",8.107209992088,9.81263736026165,9.19596087053718,10.4293138499861,12.9403171864346,12.3697579292991,13.5108764435702,0.778662821884005,-0.690979885190842,2.24830552895885,9.85382867265639,9.40879072412004,10.2988666211927,13.7145963341661,12.865953023178,14.5632396451542,1.72346678474021,1.40841960179876,2.03851396768166,-0.0411913124549197,-0.437568021809949,0.35518539690011,2.53752152448122,0.680163603154704,4.39487944580773,-0.14450337810526,-1.0935143550324,0.804507598821884
"65",1995,"AHB","North Reef",13,"Acropora arborescent",12,"Arborescent",4.72824585757134,9.14335244782982,8.40063748606105,9.88606740959858,10.5831931822075,10.1194532614668,11.0469331029482,-2.64454534718466,-3.83904352414471,-1.4500471702246,8.56798056400125,8.03198422160703,9.10397690639547,11.7033979814007,10.6813060178211,12.7254899449803,2.33697153415208,1.9575339192395,2.71640914906467,0.575371883118544,0.0979823321301749,1.05276143410691,-4.25310595061103,-6.49007710244671,-2.01613479877535,2.19746236601103,1.0544892460831,3.34043548593896
"67",1995,"AHB","North Reef",13,"Acropora tabular",85,"Tabular",8.64373808519509,9.86590656842552,9.20326237708236,10.5285507597687,12.7266511034214,12.1595805998075,13.2937216070354,-2.37436260166478,-3.83501900082209,-0.913706202507473,9.5174454436095,9.03923390735222,9.99565697986678,12.5538059736426,11.6419039149153,13.46570803237,2.46028555250745,2.12175442759225,2.79881667742264,0.348461124498033,-0.0774619136174292,0.774384162613495,-4.42168730572924,-6.41749460229428,-2.4258800091642,2.4218458190947,1.40209458508441,3.441597053105
"68",1995,"AHB","North Reef",13,"Faviidae",41,"Massive",7.18557942131167,9.43509183239067,8.85762664686947,10.0125570179119,12.4149662509449,11.8668804236765,12.9630520782133,0.894146214527992,-0.517609582652491,2.30590201170847,9.46991226033703,9.05317199895567,9.8866525217184,13.1371133109328,12.3424308879981,13.9317957338675,1.75215502846891,1.45714008469101,2.04716997224681,-0.0348204280002269,-0.405993569538757,0.336352713538303,2.44429497791481,0.705036947991689,4.18355300783792,-0.0989959552815408,-0.987664177573821,0.789672267010739
"71",1995,"AHB","North Reef",13,"Pocillopora damicornis",16,NA,5.30361331820722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",1995,"AHB","North Reef",13,"Porites",35,"Massive",6.86913190738486,9.30545925782414,8.7413793897814,9.86953912586689,12.2345837823655,11.6940338297056,12.7751337350253,0.933798146289804,-0.458546795626608,2.32614308820622,9.33809220348733,8.93101174644483,9.74517266052982,12.9388309700126,12.1625688376725,13.7150931023528,1.76200531305662,1.47382864937311,2.05018197674012,-0.0326329457148852,-0.395202503065937,0.329936611636167,2.4122850708779,0.713342061654189,4.11122808010161,-0.0833707023066402,-0.951440096155849,0.784698691542569
"75",1995,"AHB","North Reef",14,"Acropora tabular",60,"Tabular",7.94712451186514,9.59502442324834,8.96521519400457,10.2248336524921,12.3295651081994,11.7793963752445,12.8797338411542,-2.28707459130481,-3.70419552297981,-0.869953659629798,9.25814083154459,8.80362535702546,9.71265630606371,12.1944045212989,11.3276885064965,13.0611205361013,2.45111699294588,2.12936056673214,2.77287341915961,0.33688359140294,-0.0679343544224476,0.741701537228328,-4.23582091558778,-6.13273312215351,-2.33890870902205,2.35269770347174,1.38347659340574,3.32191881353774
"76",1995,"AHB","North Reef",14,"Faviidae",39,"Massive",7.08555914636726,9.39411857401679,8.82088875863654,9.96734838939704,12.3579523598304,11.8122588368104,12.9036458828504,0.90667908946728,-0.498914626478331,2.31227280541289,9.42824759953535,9.01456388477159,9.84193131429911,13.0744417670507,12.2855878759306,13.8632956581707,1.75526842999486,1.46241724866592,2.0481196113238,-0.0341290255717455,-0.40257982872484,0.33432177758135,2.43417753485751,0.707675947594578,4.16067912212045,-0.0940572465546745,-0.976207606041918,0.788093112932569
"79",1995,"AHB","North Reef",14,"Pocillopora damicornis",15,NA,5.17453826536619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",1995,"AHB","North Reef",14,"Porites",20,"Massive",5.74989922717327,8.8469661191851,8.3298461601155,9.36408607825469,11.5965950326166,11.0818775059646,12.1113125592686,1.07404174406888,-0.251764208226738,2.3998476963645,8.87186223156325,8.4986714101743,9.24505305295221,12.2375327575134,11.5258948054343,12.9491707095925,1.79684445678423,1.53265863315981,2.06103028040865,-0.0248961124221941,-0.357281587032057,0.307489362187669,2.29907029601154,0.741565075270775,3.8565755167523,-0.0281062650890144,-0.823908481846825,0.767695951668797
"81",1995,"AHB","North Reef",15,"Acropora arborescent",40,"Arborescent",7.13619438406823,10.2907964649171,9.33944043854122,11.2421524912931,11.9557800419737,11.4423795864612,12.4691804974862,-2.94626935023906,-4.2686827995288,-1.62385590094932,9.55462127695279,8.86805459026882,10.2411879636368,13.1746576109318,11.8654429066176,14.4838723152461,2.4001869683953,1.91415897628224,2.88621496050835,0.73617518702641,0.124678920437016,1.3476714536158,-5.17773617709127,-8.04310996875396,-2.31236238542858,2.48717627969928,1.02312287886357,3.951229680535
"83",1995,"AHB","North Reef",15,"Acropora tabular",80,"Tabular",8.52248874518812,9.81875807379398,9.16184139975642,10.4756747478315,12.6575361497513,12.0934386514818,13.2216336480208,-2.35916965387871,-3.81216820581358,-0.906171101943847,9.47231208089975,8.99823393158742,9.94639023021208,12.4912502173918,11.5872301183807,13.395270316403,2.4586897153917,2.12308465985395,2.79429477092945,0.34644599257923,-0.0757956104560985,0.768687595614558,-4.38933626062054,-6.36789294067216,-2.41077958056892,2.40981021757472,1.39887312985364,3.42074730529581
"84",1995,"AHB","North Reef",15,"Faviidae",3,"Massive",1.95571902718882,7.29268199291733,6.92767261647316,7.65769136936151,9.43382376538353,8.9946289856376,9.87301854512946,1.54946521166041,0.418190244219801,2.68074017910102,7.29135036893679,7.02793344483478,7.55476729303881,9.86014346287084,9.35783346576734,10.3624534599743,1.91494857548342,1.72847288245459,2.10142426851224,0.00133162396248682,-0.233282826125137,0.235946074050111,1.91527408925458,0.815908266179424,3.01463991232973,0.159239259359718,-0.402478125198957,0.720956643918392
"87",1995,"AHB","North Reef",15,"Pocillopora damicornis",14,NA,5.03654992394694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",1995,"AHB","North Reef",15,"Porites",6,"Massive",3.34194265444484,7.86054784686654,7.44166522546767,8.27943046826541,10.2240035863107,9.75971290891012,10.6882942637112,1.37576675534301,0.179849943073248,2.57168356761276,7.86879866386496,7.56650294542728,8.17109438230263,10.7287351052584,10.1522870961927,11.3051831143242,1.87179861654954,1.65780020400456,2.08579702909451,-0.00825081702596073,-0.27749298507144,0.260991351019518,2.05549604546528,0.793870269349155,3.31712182158141,0.090791589833487,-0.553831988939811,0.735415168606785
"90",1995,"AHB","South Island",1,"Acropora arborescent",9,"Arborescent",4.15288073022646,8.86917745374345,8.17575768889608,9.56259721859082,10.2552216310422,9.80208216604138,10.7083610960431,-2.57245017258682,-3.73964376676262,-1.40525657841102,8.33222857295812,7.83180717735714,8.8326499685591,11.3518491526829,10.3975950908691,12.3061032144968,2.32186657822247,1.96761285337446,2.67612030307048,0.536948880129761,0.0912444481110466,0.982653312148475,-4.03217100031968,-6.12067074776275,-1.94367125287661,2.12823693157646,1.06112479186701,3.19534907128592
"92",1995,"AHB","South Island",1,"Acropora tabular",215,"Tabular",10.4997115781465,10.5876124042154,9.83674867705432,11.3384761313764,13.7845993113948,13.1705506209088,14.3986480018807,-2.60692228709578,-4.18858478485664,-1.02525978933492,10.2083054914435,9.66642841596841,10.7501825669185,13.5113520141105,12.4780460747134,14.5446579535076,2.48471316082045,2.10111251127938,2.86831381036152,0.379306912408171,-0.103320361868384,0.861934186684727,-4.91688738011784,-7.178401666324,-2.65537309391169,2.60607574885372,1.45056239440322,3.76158910330421
"95",1995,"AHB","South Island",1,"Pocillopora damicornis",23,NA,6.02942485089438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",1995,"AHB","South Island",2,"Acropora tabular",343,"Tabular",11.4338964241961,10.9508754883386,10.1552859530941,11.7464650235831,14.3171064767974,13.6784888386368,14.9557241149581,-2.72397877241564,-4.3689258007823,-1.07903174404897,10.5560426708152,9.98188824699339,11.130197094637,13.9933227986056,12.8984671512319,15.0881784459792,2.49700854197643,2.09055840801969,2.90345867593317,0.394832817136633,-0.116542542930061,0.906208177203326,-5.16614115826359,-7.56236438070409,-2.76991793582308,2.69880595713702,1.47446351072277,3.92314840355126
"99",1995,"AHB","South Island",2,"Faviidae",12,"Massive",4.72824585757134,8.42844629903349,7.9535591465243,8.90333345154269,11.0142287673412,10.5218462768545,11.5066112578279,1.20205832790291,-0.0662171880672042,2.47033384387302,8.44628010708884,8.10356750548895,8.78899270868872,11.5973766089633,10.9438576048073,12.2508956131192,1.82864618060151,1.58603621880459,2.07125614239842,-0.0178338080923812,-0.323073605560057,0.287405989375294,2.19572605108735,0.765421135712298,3.62603096646241,0.0223399910834449,-0.708469644182949,0.753149626349839
"101",1995,"AHB","South Island",2,"Pocillopora damicornis",9,NA,4.15288073022646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
