"campaign","observer","site","transect","species","intercept_cm","genus"
1995,"AHB","South Island",1,"Acropora tabular",215,"Acropora"
1995,"AHB","South Island",1,"Isoporan",14,"Isoporan"
1995,"AHB","South Island",1,"Montipora",6,"Montipora"
1995,"AHB","South Island",1,"Pocillopora damicornis",23,"Pocillopora"
1995,"AHB","South Island",1,"Pocillopora others",33,"Pocillopora"
1995,"AHB","South Island",2,"Acropora other",43,"Acropora"
1995,"AHB","South Island",2,"Acropora tabular",343,"Acropora"
1995,"AHB","South Island",2,"Faviidae",12,"Faviidae"
1995,"AHB","South Island",2,"Montipora",10,"Montipora"
1995,"AHB","South Island",2,"Pocillopora damicornis",9,"Pocillopora"
1995,"AHB","South Island",2,"Porites",4,"Porites"
1995,"AHB","South Island",2,"Stylophora pistillata",5,"Stylophora"
1995,"AHB","South Island",3,"Acropora other",50,"Acropora"
1995,"AHB","South Island",3,"Acropora tabular",48,"Acropora"
1995,"AHB","South Island",3,"Isoporan",20,"Isoporan"
1995,"AHB","South Island",3,"Pocillopora damicornis",5,"Pocillopora"
1995,"AHB","South Island",4,"Acropora arborescent",6,"Acropora"
1995,"AHB","South Island",4,"Acropora other",102,"Acropora"
1995,"AHB","South Island",4,"Acropora tabular",213,"Acropora"
1995,"AHB","South Island",4,"Faviidae",19,"Faviidae"
1995,"AHB","South Island",4,"Mussidae",11,"Mussidae"
1995,"AHB","South Island",4,"Pocillopora damicornis",13,"Pocillopora"
1995,"AHB","South Island",4,"Porites",6,"Porites"
1995,"AHB","South Island",5,"Acropora other",88,"Acropora"
1995,"AHB","South Island",5,"Acropora tabular",67,"Acropora"
1995,"AHB","South Island",5,"Montipora",11,"Montipora"
1995,"AHB","South Island",5,"Pocillopora damicornis",24,"Pocillopora"
1995,"AHB","South Island",5,"Pocillopora others",11,"Pocillopora"
1995,"AHB","South Island",5,"Porites",12,"Porites"
1995,"AHB","South Island",6,"Acropora other",62,"Acropora"
1995,"AHB","South Island",6,"Acropora tabular",437,"Acropora"
1995,"AHB","South Island",6,"Faviidae",7,"Faviidae"
1995,"AHB","South Island",6,"Pocillopora others",102,"Pocillopora"
1995,"AHB","South Island",6,"Porites",5,"Porites"
1995,"AHB","South Island",7,"Acropora other",44,"Acropora"
1995,"AHB","South Island",7,"Acropora tabular",32,"Acropora"
1995,"AHB","South Island",7,"Faviidae",22,"Faviidae"
1995,"AHB","South Island",7,"Pocillopora damicornis",10,"Pocillopora"
1995,"AHB","South Island",7,"Porites",15,"Porites"
1995,"AHB","South Island",7,"Stylophora pistillata",12,"Stylophora"
1995,"AHB","South Island",8,"Acropora arborescent",10,"Acropora"
1995,"AHB","South Island",8,"Acropora other",30,"Acropora"
1995,"AHB","South Island",8,"Acropora tabular",140,"Acropora"
1995,"AHB","South Island",8,"Montipora",2,"Montipora"
1995,"AHB","South Island",8,"Pocillopora damicornis",10,"Pocillopora"
1995,"AHB","South Island",8,"Pocillopora others",20,"Pocillopora"
1995,"AHB","South Island",9,"Acropora other",126,"Acropora"
1995,"AHB","South Island",9,"Acropora tabular",293,"Acropora"
1995,"AHB","South Island",9,"Faviidae",11,"Faviidae"
1995,"AHB","South Island",9,"Montipora",4,"Montipora"
1995,"AHB","South Island",9,"Pocillopora others",44,"Pocillopora"
1995,"AHB","South Island",10,"Acropora arborescent",33,"Acropora"
1995,"AHB","South Island",10,"Acropora other",24,"Acropora"
1995,"AHB","South Island",10,"Acropora tabular",263,"Acropora"
1995,"AHB","South Island",10,"Faviidae",8,"Faviidae"
1995,"AHB","South Island",10,"Isoporan",28,"Isoporan"
1995,"AHB","South Island",10,"Pocillopora damicornis",14,"Pocillopora"
1995,"AHB","South Island",10,"Pocillopora others",92,"Pocillopora"
1995,"AHB","South Island",10,"Porites",15,"Porites"
1995,"AHB","South Island",11,"Acropora other",20,"Acropora"
1995,"AHB","South Island",11,"Acropora tabular",55,"Acropora"
1995,"AHB","South Island",11,"Pocillopora damicornis",26,"Pocillopora"
1995,"AHB","South Island",11,"Pocillopora others",33,"Pocillopora"
1995,"AHB","South Island",12,"Acropora tabular",286,"Acropora"
1995,"AHB","South Island",13,"Acropora other",85,"Acropora"
1995,"AHB","South Island",13,"Acropora tabular",108,"Acropora"
1995,"AHB","South Island",13,"Pocillopora damicornis",8,"Pocillopora"
1995,"AHB","South Island",13,"Pocillopora others",56,"Pocillopora"
1995,"AHB","South Island",14,"Acropora other",43,"Acropora"
1995,"AHB","South Island",14,"Acropora tabular",115,"Acropora"
1995,"AHB","South Island",14,"Faviidae",14,"Faviidae"
1995,"AHB","South Island",14,"Pocillopora others",48,"Pocillopora"
1995,"AHB","South Island",15,"Acropora arborescent",22,"Acropora"
1995,"AHB","South Island",15,"Acropora other",73,"Acropora"
1995,"AHB","South Island",15,"Acropora tabular",239,"Acropora"
1995,"AHB","South Island",15,"Faviidae",14,"Faviidae"
1995,"AHB","South Island",15,"Pocillopora damicornis",7,"Pocillopora"
1996,"AHB","Lizard Head",1,"Acropora other",84,"Acropora"
1996,"AHB","Lizard Head",1,"Acropora tabular",141,"Acropora"
1996,"AHB","Lizard Head",1,"Faviidae",16,"Faviidae"
1996,"AHB","Lizard Head",1,"Isopora",19,"Isopora"
1996,"AHB","Lizard Head",1,"other hard coral",7,"other"
1996,"AHB","Lizard Head",1,"Pocillopora damicornis",6,"Pocillopora"
1996,"AHB","Lizard Head",1,"Pocillopora others",59,"Pocillopora"
1996,"AHB","Lizard Head",2,"Acropora other",110,"Acropora"
1996,"AHB","Lizard Head",2,"Acropora tabular",204,"Acropora"
1996,"AHB","Lizard Head",2,"Faviidae",4,"Faviidae"
1996,"AHB","Lizard Head",2,"Isopora",28,"Isopora"
1996,"AHB","Lizard Head",2,"Montipora",8,"Montipora"
1996,"AHB","Lizard Head",2,"Pocillopora others",25,"Pocillopora"
1996,"AHB","Lizard Head",3,"Acropora other",105,"Acropora"
1996,"AHB","Lizard Head",3,"Acropora tabular",6,"Acropora"
1996,"AHB","Lizard Head",3,"Pocillopora others",65,"Pocillopora"
1996,"AHB","Lizard Head",3,"Porites",4,"Porites"
1996,"AHB","Lizard Head",3,"Stylophora pistillata",5,"Stylophora"
1996,"AHB","Lizard Head",4,"Acropora arborescent",41,"Acropora"
1996,"AHB","Lizard Head",4,"Acropora other",72,"Acropora"
1996,"AHB","Lizard Head",4,"Acropora tabular",51,"Acropora"
1996,"AHB","Lizard Head",4,"Montipora",29,"Montipora"
1996,"AHB","Lizard Head",4,"Porites",6,"Porites"
1996,"AHB","Lizard Head",5,"Acropora arborescent",5,"Acropora"
1996,"AHB","Lizard Head",5,"Acropora other",204,"Acropora"
1996,"AHB","Lizard Head",5,"Acropora tabular",68,"Acropora"
1996,"AHB","Lizard Head",5,"Isopora",27,"Isopora"
1996,"AHB","Lizard Head",5,"Montipora",2,"Montipora"
1996,"AHB","Lizard Head",5,"other hard coral",10,"other"
1996,"AHB","Lizard Head",5,"Pocillopora damicornis",5,"Pocillopora"
1996,"AHB","Lizard Head",5,"Pocillopora others",23,"Pocillopora"
1996,"AHB","Lizard Head",6,"Acropora other",118,"Acropora"
1996,"AHB","Lizard Head",6,"Acropora tabular",6,"Acropora"
1996,"AHB","Lizard Head",6,"Faviidae",14,"Faviidae"
1996,"AHB","Lizard Head",6,"Isopora",22,"Isopora"
1996,"AHB","Lizard Head",6,"Montipora",5,"Montipora"
1996,"AHB","Lizard Head",6,"Pocillopora damicornis",8,"Pocillopora"
1996,"AHB","Lizard Head",6,"Pocillopora others",87,"Pocillopora"
1996,"AHB","Lizard Head",7,"Acropora other",62,"Acropora"
1996,"AHB","Lizard Head",7,"Faviidae",12,"Faviidae"
1996,"AHB","Lizard Head",7,"Isopora",6,"Isopora"
1996,"AHB","Lizard Head",7,"Montipora",8,"Montipora"
1996,"AHB","Lizard Head",7,"Pocillopora others",33,"Pocillopora"
1996,"AHB","Lizard Head",7,"Porites",10,"Porites"
1996,"AHB","Lizard Head",7,"Stylophora pistillata",6,"Stylophora"
1996,"AHB","Lizard Head",8,"Acropora arborescent",10,"Acropora"
1996,"AHB","Lizard Head",8,"Acropora other",58,"Acropora"
1996,"AHB","Lizard Head",8,"Acropora tabular",59,"Acropora"
1996,"AHB","Lizard Head",8,"Faviidae",22,"Faviidae"
1996,"AHB","Lizard Head",8,"Montipora",10,"Montipora"
1996,"AHB","Lizard Head",8,"Pocillopora damicornis",8,"Pocillopora"
1996,"AHB","Lizard Head",8,"Pocillopora others",8,"Pocillopora"
1996,"AHB","Lizard Head",9,"Acropora other",142,"Acropora"
1996,"AHB","Lizard Head",9,"Faviidae",9,"Faviidae"
1996,"AHB","Lizard Head",9,"Montipora",21,"Montipora"
1996,"AHB","Lizard Head",9,"Pocillopora damicornis",17,"Pocillopora"
1996,"AHB","Lizard Head",9,"Pocillopora others",16,"Pocillopora"
1996,"AHB","Lizard Head",10,"Acropora arborescent",8,"Acropora"
1996,"AHB","Lizard Head",10,"Acropora other",106,"Acropora"
1996,"AHB","Lizard Head",10,"Acropora tabular",24,"Acropora"
1996,"AHB","Lizard Head",10,"Faviidae",13,"Faviidae"
1996,"AHB","Lizard Head",10,"Pocillopora others",35,"Pocillopora"
1996,"AHB","North Reef",1,"Acropora arborescent",26,"Acropora"
1996,"AHB","North Reef",1,"Acropora other",59,"Acropora"
1996,"AHB","North Reef",1,"Acropora tabular",193,"Acropora"
1996,"AHB","North Reef",2,"Acropora arborescent",59,"Acropora"
1996,"AHB","North Reef",2,"Acropora other",34,"Acropora"
1996,"AHB","North Reef",2,"Acropora tabular",64,"Acropora"
1996,"AHB","North Reef",2,"Faviidae",12,"Faviidae"
1996,"AHB","North Reef",2,"Montipora",25,"Montipora"
1996,"AHB","North Reef",3,"Acropora other",51,"Acropora"
1996,"AHB","North Reef",3,"Acropora tabular",159,"Acropora"
1996,"AHB","North Reef",3,"Pocillopora damicornis",4,"Pocillopora"
1996,"AHB","North Reef",3,"Pocillopora others",31,"Pocillopora"
1996,"AHB","North Reef",4,"Acropora arborescent",32,"Acropora"
1996,"AHB","North Reef",4,"Acropora tabular",273,"Acropora"
1996,"AHB","North Reef",4,"Faviidae",5,"Faviidae"
1996,"AHB","North Reef",5,"Acropora other",28,"Acropora"
1996,"AHB","North Reef",5,"Acropora tabular",137,"Acropora"
1996,"AHB","North Reef",5,"Faviidae",10,"Faviidae"
1996,"AHB","North Reef",5,"Pocillopora damicornis",5,"Pocillopora"
1996,"AHB","North Reef",5,"Pocillopora others",2,"Pocillopora"
1996,"AHB","North Reef",5,"Porites",30,"Porites"
1996,"AHB","North Reef",6,"Acropora arborescent",11,"Acropora"
1996,"AHB","North Reef",6,"Acropora other",40,"Acropora"
1996,"AHB","North Reef",6,"Acropora tabular",21,"Acropora"
1996,"AHB","North Reef",6,"Faviidae",17,"Faviidae"
1996,"AHB","North Reef",6,"Montipora",24,"Montipora"
1996,"AHB","North Reef",6,"Pocillopora damicornis",28,"Pocillopora"
1996,"AHB","North Reef",6,"Pocillopora others",4,"Pocillopora"
1996,"AHB","North Reef",7,"Acropora arborescent",6,"Acropora"
1996,"AHB","North Reef",7,"Acropora other",84,"Acropora"
1996,"AHB","North Reef",7,"Acropora tabular",107,"Acropora"
1996,"AHB","North Reef",7,"Goniopora",12,"Goniopora"
1996,"AHB","North Reef",7,"Montipora",11,"Montipora"
1996,"AHB","North Reef",7,"Pocillopora damicornis",3,"Pocillopora"
1996,"AHB","North Reef",7,"Porites",20,"Porites"
1996,"AHB","North Reef",8,"Acropora other",131,"Acropora"
1996,"AHB","North Reef",8,"Acropora tabular",62,"Acropora"
1996,"AHB","North Reef",8,"Faviidae",27,"Faviidae"
1996,"AHB","North Reef",8,"Isopora",8,"Isopora"
1996,"AHB","North Reef",8,"Montipora",6,"Montipora"
1996,"AHB","North Reef",8,"Pocillopora others",11,"Pocillopora"
1996,"AHB","North Reef",8,"Porites",6,"Porites"
1996,"AHB","North Reef",9,"Acropora other",47,"Acropora"
1996,"AHB","North Reef",9,"Acropora tabular",52,"Acropora"
1996,"AHB","North Reef",9,"Faviidae",28,"Faviidae"
1996,"AHB","North Reef",9,"Isopora",6,"Isopora"
1996,"AHB","North Reef",9,"Montipora",33,"Montipora"
1996,"AHB","North Reef",9,"Pocillopora damicornis",4,"Pocillopora"
1996,"AHB","North Reef",9,"Porites",16,"Porites"
1996,"AHB","North Reef",10,"Acropora other",51,"Acropora"
1996,"AHB","North Reef",10,"Acropora tabular",112,"Acropora"
1996,"AHB","North Reef",10,"Faviidae",28,"Faviidae"
1996,"AHB","North Reef",10,"other hard coral",20,"other"
1996,"AHB","North Reef",10,"Pocillopora damicornis",5,"Pocillopora"
1996,"AHB","North Reef",10,"Porites",11,"Porites"
1996,"AHB","South Island",1,"Acropora other",77,"Acropora"
1996,"AHB","South Island",1,"Pocillopora damicornis",10,"Pocillopora"
1996,"AHB","South Island",1,"Pocillopora others",29,"Pocillopora"
1996,"AHB","South Island",2,"Acropora other",39,"Acropora"
1996,"AHB","South Island",2,"Acropora tabular",99,"Acropora"
1996,"AHB","South Island",2,"Isopora",17,"Isopora"
1996,"AHB","South Island",2,"Pocillopora damicornis",7,"Pocillopora"
1996,"AHB","South Island",2,"Porites",7,"Porites"
1996,"AHB","South Island",3,"Acropora other",39,"Acropora"
1996,"AHB","South Island",3,"Acropora tabular",42,"Acropora"
1996,"AHB","South Island",3,"Faviidae",63,"Faviidae"
1996,"AHB","South Island",3,"Isopora",24,"Isopora"
1996,"AHB","South Island",3,"Montipora",7,"Montipora"
1996,"AHB","South Island",3,"Pocillopora damicornis",29,"Pocillopora"
1996,"AHB","South Island",3,"Pocillopora others",28,"Pocillopora"
1996,"AHB","South Island",3,"Porites",13,"Porites"
1996,"AHB","South Island",4,"Acropora other",21,"Acropora"
1996,"AHB","South Island",4,"Acropora tabular",18,"Acropora"
1996,"AHB","South Island",4,"Faviidae",11,"Faviidae"
1996,"AHB","South Island",4,"Montipora",9,"Montipora"
1996,"AHB","South Island",4,"Pocillopora damicornis",18,"Pocillopora"
1996,"AHB","South Island",4,"Pocillopora others",16,"Pocillopora"
1996,"AHB","South Island",4,"Porites",6,"Porites"
1996,"AHB","South Island",5,"Acropora other",14,"Acropora"
1996,"AHB","South Island",5,"Acropora tabular",33,"Acropora"
1996,"AHB","South Island",5,"Faviidae",14,"Faviidae"
1996,"AHB","South Island",5,"Pocillopora damicornis",73,"Pocillopora"
1996,"AHB","South Island",5,"Pocillopora others",6,"Pocillopora"
1996,"AHB","South Island",6,"Acropora other",14,"Acropora"
1996,"AHB","South Island",6,"Acropora tabular",19,"Acropora"
1996,"AHB","South Island",6,"Faviidae",4,"Faviidae"
1996,"AHB","South Island",6,"Isopora",21,"Isopora"
1996,"AHB","South Island",6,"Montipora",2,"Montipora"
1996,"AHB","South Island",6,"Pocillopora damicornis",10,"Pocillopora"
1996,"AHB","South Island",6,"Pocillopora others",6,"Pocillopora"
1996,"AHB","South Island",7,"Acropora other",53,"Acropora"
1996,"AHB","South Island",7,"Acropora tabular",88,"Acropora"
1996,"AHB","South Island",7,"Isopora",6,"Isopora"
1996,"AHB","South Island",7,"Montipora",8,"Montipora"
1996,"AHB","South Island",7,"Pocillopora damicornis",4,"Pocillopora"
1996,"AHB","South Island",7,"Pocillopora others",30,"Pocillopora"
1996,"AHB","South Island",8,"Acropora other",15,"Acropora"
1996,"AHB","South Island",8,"Acropora tabular",28,"Acropora"
1996,"AHB","South Island",8,"Faviidae",2,"Faviidae"
1996,"AHB","South Island",8,"Montipora",11,"Montipora"
1996,"AHB","South Island",8,"Mussidae",8,"Mussidae"
1996,"AHB","South Island",8,"Pocillopora damicornis",15,"Pocillopora"
1996,"AHB","South Island",8,"Pocillopora others",37,"Pocillopora"
1996,"AHB","South Island",8,"Stylophora pistillata",3,"Stylophora"
1996,"AHB","South Island",9,"Acropora other",17,"Acropora"
1996,"AHB","South Island",9,"Faviidae",16,"Faviidae"
1996,"AHB","South Island",9,"Isopora",33,"Isopora"
1996,"AHB","South Island",9,"Montipora",12,"Montipora"
1996,"AHB","South Island",9,"Pocillopora damicornis",8,"Pocillopora"
1996,"AHB","South Island",9,"Pocillopora others",15,"Pocillopora"
1996,"AHB","South Island",10,"Acropora other",68,"Acropora"
1996,"AHB","South Island",10,"Acropora tabular",59,"Acropora"
1996,"AHB","South Island",10,"Faviidae",9,"Faviidae"
1996,"AHB","South Island",10,"Isopora",3,"Isopora"
1996,"AHB","South Island",10,"Pocillopora others",24,"Pocillopora"
1996,"AHB","Washing Machine",1,"Acropora other",190,"Acropora"
1996,"AHB","Washing Machine",1,"Acropora tabular",49,"Acropora"
1996,"AHB","Washing Machine",1,"Faviidae",45,"Faviidae"
1996,"AHB","Washing Machine",1,"Isopora",11,"Isopora"
1996,"AHB","Washing Machine",1,"Montipora",22,"Montipora"
1996,"AHB","Washing Machine",1,"Pocillopora damicornis",14,"Pocillopora"
1996,"AHB","Washing Machine",1,"Pocillopora others",8,"Pocillopora"
1996,"AHB","Washing Machine",1,"Porites",11,"Porites"
1996,"AHB","Washing Machine",2,"Acropora other",150,"Acropora"
1996,"AHB","Washing Machine",2,"Acropora tabular",5,"Acropora"
1996,"AHB","Washing Machine",2,"Faviidae",125,"Faviidae"
1996,"AHB","Washing Machine",2,"Isopora",7,"Isopora"
1996,"AHB","Washing Machine",2,"other hard coral",4,"other"
1996,"AHB","Washing Machine",2,"Pocillopora damicornis",16,"Pocillopora"
1996,"AHB","Washing Machine",2,"Porites",21,"Porites"
1996,"AHB","Washing Machine",3,"Acropora arborescent",27,"Acropora"
1996,"AHB","Washing Machine",3,"Acropora other",150,"Acropora"
1996,"AHB","Washing Machine",3,"Acropora tabular",54,"Acropora"
1996,"AHB","Washing Machine",3,"Faviidae",17,"Faviidae"
1996,"AHB","Washing Machine",3,"Isopora",32,"Isopora"
1996,"AHB","Washing Machine",3,"Montipora",13,"Montipora"
1996,"AHB","Washing Machine",3,"Pocillopora damicornis",10,"Pocillopora"
1996,"AHB","Washing Machine",3,"Porites",10,"Porites"
1996,"AHB","Washing Machine",4,"Acropora other",138,"Acropora"
1996,"AHB","Washing Machine",4,"Acropora tabular",44,"Acropora"
1996,"AHB","Washing Machine",4,"Faviidae",97,"Faviidae"
1996,"AHB","Washing Machine",4,"Isopora",4,"Isopora"
1996,"AHB","Washing Machine",4,"Montipora",40,"Montipora"
1996,"AHB","Washing Machine",4,"Pocillopora damicornis",12,"Pocillopora"
1996,"AHB","Washing Machine",4,"Stylophora pistillata",8,"Stylophora"
1996,"AHB","Washing Machine",5,"Acropora arborescent",23,"Acropora"
1996,"AHB","Washing Machine",5,"Acropora other",82,"Acropora"
1996,"AHB","Washing Machine",5,"Acropora tabular",82,"Acropora"
1996,"AHB","Washing Machine",5,"Faviidae",33,"Faviidae"
1996,"AHB","Washing Machine",5,"Isopora",28,"Isopora"
1996,"AHB","Washing Machine",5,"Montipora",8,"Montipora"
1996,"AHB","Washing Machine",5,"Pocillopora damicornis",5,"Pocillopora"
1996,"AHB","Washing Machine",5,"Porites",13,"Porites"
1996,"AHB","Washing Machine",6,"Acropora arborescent",33,"Acropora"
1996,"AHB","Washing Machine",6,"Acropora other",88,"Acropora"
1996,"AHB","Washing Machine",6,"Acropora tabular",76,"Acropora"
1996,"AHB","Washing Machine",6,"Faviidae",8,"Faviidae"
1996,"AHB","Washing Machine",6,"Pocillopora damicornis",4,"Pocillopora"
1996,"AHB","Washing Machine",6,"Porites",27,"Porites"
1996,"AHB","Washing Machine",7,"Acropora arborescent",12,"Acropora"
1996,"AHB","Washing Machine",7,"Acropora other",100,"Acropora"
1996,"AHB","Washing Machine",7,"Acropora tabular",18,"Acropora"
1996,"AHB","Washing Machine",7,"Faviidae",24,"Faviidae"
1996,"AHB","Washing Machine",7,"Isopora",10,"Isopora"
1996,"AHB","Washing Machine",7,"other hard coral",25,"other"
1996,"AHB","Washing Machine",7,"Pocillopora damicornis",10,"Pocillopora"
1996,"AHB","Washing Machine",7,"Pocillopora others",12,"Pocillopora"
1996,"AHB","Washing Machine",8,"Acropora other",92,"Acropora"
1996,"AHB","Washing Machine",8,"Acropora tabular",30,"Acropora"
1996,"AHB","Washing Machine",8,"Faviidae",37,"Faviidae"
1996,"AHB","Washing Machine",8,"Montipora",4,"Montipora"
1996,"AHB","Washing Machine",8,"Pocillopora damicornis",3,"Pocillopora"
1996,"AHB","Washing Machine",8,"Porites",3,"Porites"
1996,"AHB","Washing Machine",9,"Acropora other",91,"Acropora"
1996,"AHB","Washing Machine",9,"Acropora tabular",21,"Acropora"
1996,"AHB","Washing Machine",9,"Faviidae",2,"Faviidae"
1996,"AHB","Washing Machine",9,"Isopora",7,"Isopora"
1996,"AHB","Washing Machine",9,"Montipora",10,"Montipora"
1996,"AHB","Washing Machine",9,"Mussidae",15,"Mussidae"
1996,"AHB","Washing Machine",9,"Pocillopora damicornis",9,"Pocillopora"
1996,"AHB","Washing Machine",9,"Porites",24,"Porites"
1996,"AHB","Washing Machine",9,"Stylophora pistillata",11,"Stylophora"
1996,"AHB","Washing Machine",10,"Acropora arborescent",4,"Acropora"
1996,"AHB","Washing Machine",10,"Acropora other",125,"Acropora"
1996,"AHB","Washing Machine",10,"Faviidae",35,"Faviidae"
1996,"AHB","Washing Machine",10,"Isopora",6,"Isopora"
1996,"AHB","Washing Machine",10,"Pocillopora damicornis",10,"Pocillopora"
1996,"AHB","Washing Machine",10,"Porites",6,"Porites"
1997,"AHB","Lizard Head",1,"Acropora other",160,"Acropora"
1997,"AHB","Lizard Head",1,"Acropora tabular",25,"Acropora"
1997,"AHB","Lizard Head",1,"Pocillopora damicornis",35,"Pocillopora"
1997,"AHB","Lizard Head",1,"Stylophora pistillata",38,"Stylophora"
1997,"AHB","Lizard Head",2,"Acropora other",200,"Acropora"
1997,"AHB","Lizard Head",2,"Isopora",46,"Isopora"
